Member ID,Last name,First name,Address 1,Address 2,Address 3,Address 4,Address 5,Dues amount,Membership valid through,Member type,Certification
100027,de Alava Casado,Christophe,Emilio Arrieta 23,Pamplona,,Spain,31002,$500,7/13/2022,Corporate Member,
100028,Boaz,Isobel,383 Elgin St,Brantford,ON,Canada,N3S 7P5,$200,3/26/2021,Professional Member,
100029,Koshy,Rene,8 Temasek Boulevard #7,Singapore,,Singapore,,$200,4/29/2021,Professional Member,
100030,Lee,Chie Shin,P O Box 112-066,Auckland,,New Zealand,1061,$100,6/28/2021,Student Associate,"CSCP, CPIM, PMP"
100031,Sanseau,Jose,5 rue de la Division Leclerc,78350 LES LOGES EN JOSAS,,France,,$100,4/30/2021,Student Associate,
100032,Ciorma,Frans,775 Steeles Ave West Apt. 1111,Toronto,ON,Canada,M2R 2S8,$100,08-01-2021,Student Associate,
100033,Peron,Jasja,Rue des Saars 87,Neuchâtel,,Switzerland,2000,$200,09-07-2022,Professional Member,
100034,Worrell,Travis,45 Kensington Rd,Essex,,United Kingdom,RM7 9DA,$200,08-08-2021,Professional Member,
100035,Bianco,Richard,13459 Cedar Way,Maple Ridge,BC,Canada,V4R 2T4,$200,01-02-2023,Professional Member,
100036,McKnight,Gangesh,Rossinistraat 18,4561 VP Hulst,,Netherlands,,$100,06-05-2021,Student Associate,"CSCP, CPIM"
100037,Bricks,Shari,1370 Don Mills Rd,Toronto,ON,Canada,M3B 3N7,$200,"March 10, 20",Professional Member,
100038,Kim,Nam-Su,1502-1901 Hosumaeul Humansia APT Dongbaek-dong Kiheung-gu,Yongin-shi,,"Korea, Republic of",446-744,$200,07-05-2021,Professional Member,"CLTD, PMP"
100039,Venghatachari,Ramachandharan,105 Vars Fantasy,Bangalore,Karnataka,India,560008,$200,3/21/2022,Professional Member,
100040,Lim,SooChing,A-6-08 Sri Teratai Apartment,47100 Bandar Puchong Jaya,Selangor,Malaysia,,$200,08-08-2021,Professional Member,"SCOR-P, CLTD"
100041,Hagen,Rien,Softwareweg 4,3821 BC Amersfoort,,Netherlands,,$100,6/28/2021,Student Associate,
100027,de Alava Casado,Christophe,Emilio Arrieta 23,Pamplona,,Spain,31002,$500,7/13/2022,Corporate Member,
100042,Li,Xihan,No.7 Xingsheng Street Beijing Economic,100176 China,,China,,$200,3/26/2021,Professional Member,"CPL, CSCP"
100043,Acheson,Margaret,#209-1610 Gordon Drive,Kelowna,BC,Canada,V1Y 3G9,$200,12/13/2021,Professional Member,PMP
100044,Rojo,Carlo,Golden Mile Business Park SEZ,Carmona Cavite 4116,,Philippines,,$200,7/16/2020,Professional Member,
100045,Taweeskulchai,Winai,41/8 Rama3 Rd Soi 59,Bangkok,,Thailand,10120,$200,03-02-2021,Professional Member,"CSCP, CPIM"
100046,Khairullah,Ashraf,7113 CHATHAM COURT,Mississauga,ON,Canada,L5N 8R1,$200,08-05-2021,Professional Member,
100047,Lam,Francis,Flat C 15/F Block 3,Hong Kong NT,,Hong Kong,,$200,6/15/2021,Professional Member,CSCMP
100048,Escalante,Edgardo,Av. Magdalena #312 - Depto 606,Mexico City,DIF,Mexico,3100,$200,9/16/2021,Professional Member,
100049,Kenderov,Alexander,Mairia Luisa 91B,1202 Sofia,,Bulgaria,,$100,2/21/2021,Student Associate,CPCM
100050,de Lima,Henrique Ramos C,Rua Cenno Sbrighi 170 Edificio. 11,Agua Branca SP,,Brazil,05036-010,$100,11/22/2021,Student Associate,
100051,Long,David,11 Brine Rd,Nantwich Cheshire,,United Kingdom,CW5 7BA,$200,07-11-2023,Professional Member,
100053,Calvo Urdiales,Jesus,San Millán de la Cogolla 26 6-A,28050 Madrid,,Spain,,"$1,000",10/16/2021,Student Associate,
100054,Tan,Jenny,1 Harbour Front Place,SINGAPORE,,Singapore,98633,$500,10/16/2021,Corporate Member,CPSD
100055,Koh,Joyce,1 Harbour Front Place,SINGAPORE,,Singapore,98633,$500,10/23/2021,Corporate Member,
100056,Thakur,De Larbre,SF-9 Sri Sai Paradise,Bangalore KRN -560061,,India,,$200,9/29/2021,Professional Member,
100057,Figueroa Guerra,Carlos Fabrizio,1174 McDowell Crescent,Milton,ON,Canada,L9T 6R6,$200,08-08-2023,Professional Member,
100058,Stack,Audette,170 Laurier Ave W,Ottawa,ON,Canada,K1P 5V5,$500,9/22/2021,Corporate Member,CPSM
100059,Forrest-Canivet,Young,70 Carisbrooke Ct,Brampton,ON,Canada,L6S 3K1,$200,3/14/2022,Professional Member,
100060,Lindfors,D Souza,Industrivägen 1,447 81 VÅRGÅRDA,,Sweden,,$200,01-11-2021,Professional Member,
100061,Eckert,Rohidasbhai,PO Box 1147,85636 Putzbrunn,,Germany,,$500,12/27/2021,Corporate Member,"SCOR-P, CLTD"
100063,Vanderniet,Bothma,44-1250 Jalna Blvd,London,ON,Canada,N6E 2W4,$200,11-05-2021,Professional Member,
100064,Silcock,Struys,PO Box 297,Brussels,ON,Canada,N0G 1H0,$200,11-11-2021,Professional Member,
100065,Simoneau,Van Laethem,101 Roland Therrien,Longueuil,QC,Canada,J4H 4B9,-$200,9/18/2021,Professional Member,
100066,Steenberg,Suarez Moreno,Hamm Moor Lane,Weybridge,,United Kingdom,KT15 2SE,$200,11/20/2021,Professional Member,
100067,Dorey,Lin,52 La Rue Mills Road,Mallorytown,ON,Canada,K0E 1R0,$200,7/31/2021,Professional Member,
100068,Ramsay,Jones,785 Petrolia Line MC-C024,Sarnia,ON,Canada,N7T 8C7,$500,5/31/2021,Corporate Member,CSCP. CLTD
100069,Corda,Wu,66 Carsdale Dr,Winnipeg,MB,Canada,R2V 4W8,$500,12-01-2021,Corporate Member,
100070,Lam,Salih,4225 Kincaid St,Burnaby,BC,Canada,V5G 4P5,$200,3/13/2021,{rofessional Member,
100071,van Haelst-Kuijf,Friesen,,3628 AS Kockengen,,Netherlands,,$100,3/13/2021,Student Associate,
100072,Jansen,Sadler,,7241 SW Lochem,,Netherlands,,$100,08-09-2021,Student Associate,
100073,Rousse,Lee,Route de Cambounet-sur-Sor,81580 SOUAL,,France,,$100,05-10-2021,Student Associate,CLTD
100074,Dunsmore,Sanchez,5200 Orbitor Drive,Mississauga,ON,Canada,L4W 5B4,$200,11/29/2007,Professional Member,
100075,Carlier,Phillips,42 rue Felix Duchasseint,63190 LEZOUX,,France,,$100,01-09-2021,Student Associate,
100076,Fraser,Juckler,PO Box 64,Toronto,ON,Canada,M5G 1Z3,$200,1/18/2021,Professional Member,
100077,Dominguez,Bastien,Rómulo Garza # 300,66470 San Nicolás de los Garza,NLE,Mexico,,$200,05-09-2021,Professional Member,CSCP. CLTD
100078,Jansen,Gopalakrishnan,Nijenkamp 72,6651 HC DRUTEN,,Netherlands,,,3/14/2021,Student Associate,
100079,Terweijden,Cloutier,Hoogstraat 18,1211 JM Hilversum,,Netherlands,,$100,06-02-2021,Student Associate,CPSM
100080,Takeuchi,Bellande,435 Plessis Rd,Springfield,MB,Canada,R3X 1W9,$200,2/17/2021,Professional Member,
100081,St-Germain,Poulin,600 Dr Frederick Philips,Saint-Laurent,QC,Canada,H4M 2S9,$500,10/23/2021,Corporate Member,"CPIM, CSCP, CLTD"
100082,Thakur,De Larbre,SF-9 Sri Sai Paradise,Bangalore KRN -560061,,India,,$200,44492,Professional Member,
,,,,,,,,,,,
,,,,,,,, ,,,
,,,,,,,, ,,,
